ISIN;MATURITYDATE;ISSUEDATE;COUPONRATE;PRICE;ACCRUED;TODAY
LT0616;08/06/2016;08/03/2016;0,00000;99,8138;0,0000;31/03/2016
VEB112017;23/11/2017;11/01/2011;0,03648;105,2813;0,3498;
VEB122017;08/12/2017;11/01/2011;0,03638;104,0313;0,1993;
TIF042018;12/04/2018;11/01/2012;0,04500;123,8932;0,9493;
VEB032019;28/03/2019;11/01/2012;0,03818;128,9572;0,0000;
VEB042019;18/04/2019;11/01/2012;0,03855;122,4105;0,7393;
VEB012020;02/01/2020;11/01/2012;0,03918;125,8648;0,9016;
VEB062020;18/06/2020;11/01/2012;0,03925;125,9000;0,0753;
TIF022021;04/02/2021;08/01/2013;0,04125;132,0000;0,5538;
TIF032022;03/03/2022;08/01/2013;0,04000;126,7251;0,2301;
VEB012023;19/01/2023;08/01/2013;0,03980;126,8612;0,6870;
TIF042023;06/04/2023;08/01/2013;0,04000;128,1243;0,8438;
VEB022024;22/02/2024;29/01/2014;0,04018;129,2500;0,3082;
VEB042024;18/04/2024;08/01/2013;0,04043;126,0613;0,6977;
VEB012025;09/01/2025;15/08/2013;0,04105;129,5412;0,7873;
TIF032028;30/03/2028;24/02/2015;0,03813;122,5958;0,8043;
VEB042028;20/04/2028;24/02/2015;0,04093;127,0844;0,6279;
TIF022029;15/02/2029;24/02/2015;0,03875;122,2298;0,2973;
TIF032031;13/03/2031;28/01/2016;0,03750;109,2269;0,0000;
VEB032031;13/03/2031;28/01/2016;0,04030;111,3580;0,0000;
TIF032032;25/03/2032;28/01/2016;0,03813;108,5880;0,8043;
